racksDouble103,racks/racksDouble103/,,,,,,,,,
xml,,,,,,,,,,
X Pos,Neg Z Pos,Y Pos,Rot X,Rot Y,Rot Z,Aisle Label,Rack Side,Bin Label,Bin Label,The 'R' symbol means reverse the label order
0.74,8.385,0,0,90,0,A,right,1A003,1A005,Aisle 1A
0.74,9.415,0,0,90,0,A,none,1A007,1A009,
0.74,10.445,0,0,90,0,A,none,1A011,1A013,
0.74,11.475,0,0,90,0,A,none,1A015,1A017,
0.74,12.505,0,0,90,0,A,none,1A019,1A021,
0.74,13.535,0,0,90,0,A,none,1A023,1A025,
0.74,14.565,0,0,90,0,A,none,1A027,1A029,
,,,,,,,,,,
0.74,18.155,0,0,90,0,A,right,2A009,2A011,Aisle 2A
0.74,19.185,0,0,90,0,A,none,2A013,2A015,
0.74,20.215,0,0,90,0,A,none,2A017,2A019,
0.74,21.245,0,0,90,0,A,none,2A021,2A023,
0.74,22.275,0,0,90,0,A,none,2A025,2A027,
0.74,23.305,0,0,90,0,A,none,2A029,2A031,
0.74,24.335,0,0,90,0,A,none,2A033,2A035,
0.74,25.365,0,0,90,0,A,none,2A037,2A039,
,,,,,,,,,,
3.88,9.375,0,0,-90,0,A,left,1A010,1A008,Aisle 1A-R
3.88,10.405,0,0,-90,0,A,none,1A014,1A012,
3.88,11.435,0,0,-90,0,A,none,1A018,1A016,
3.88,12.465,0,0,-90,0,A,none,1A022,1A020,
3.88,13.495,0,0,-90,0,A,none,1A026,1A024,
3.88,14.525,0,0,-90,0,A,none,1A030,1A028,
,,,,,,,,,,
4.83,30.575,0,0,-90,0,B,none,4B089,4B087,Aisle 4B-R
4.83,31.605,0,0,-90,0,B,none,4B093,4B091,
4.83,32.635,0,0,-90,0,B,none,4B097,4B095,
4.83,33.665,0,0,-90,0,B,none,4B101,4B099,
4.83,34.695,0,0,-90,0,B,none,4B105,4B103,
4.83,35.725,0,0,-90,0,B,none,4B109,4B107,
4.83,36.755,0,0,-90,0,B,none,4B113,4B111,
