racksDouble106,racks/racksDouble106/,,,,,,,,
obj,,,,,,,,,
X,Neg Z,Y,Rot X,Rot Y,Rot Z,Aisle,Label (left_right_or_none),Bin# (leftmost),Bin#
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
19.01,8.31,0,0,0,0,A,none,1A345,1A890
19.01,24.82,0,0,0,0,A,none,1A345,1A890
19.01,27.925,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
24.29,8.31,0,0,0,0,A,none,1A345,1A890
24.29,24.82,0,0,0,0,A,none,1A345,1A890
24.29,27.925,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
27.4,9.78,0,0,0,0,A,none,1A345,1A890
27.4,26.29,0,0,0,0,A,none,1A345,1A890
27.4,29.395,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
28.46,9.78,0,0,0,0,A,none,1A345,1A890
28.46,26.29,0,0,0,0,A,none,1A345,1A890
28.46,29.395,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
30.71,9.78,0,0,0,0,A,none,1A345,1A890
30.71,26.29,0,0,0,0,A,none,1A345,1A890
30.71,29.395,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
31.89,9.78,0,0,0,0,A,none,1A345,1A890
31.89,26.29,0,0,0,0,A,none,1A345,1A890
31.89,29.395,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
34.14,9.78,0,0,0,0,A,none,1A345,1A890
34.14,26.29,0,0,0,0,A,none,1A345,1A890
34.14,29.395,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
35.2,9.78,0,0,0,0,A,none,1A345,1A890
35.2,26.29,0,0,0,0,A,none,1A345,1A890
35.2,29.395,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
37.45,9.78,0,0,0,0,A,none,1A345,1A890
37.45,26.29,0,0,0,0,A,none,1A345,1A890
37.45,29.395,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
38.63,9.78,0,0,0,0,A,none,1A345,1A890
38.63,26.29,0,0,0,0,A,none,1A345,1A890
38.63,29.395,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
40.68,9.78,0,0,0,0,A,none,1A345,1A890
40.68,26.29,0,0,0,0,A,none,1A345,1A890
40.68,29.395,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
41.94,9.78,0,0,0,0,A,none,1A345,1A890
41.94,26.29,0,0,0,0,A,none,1A345,1A890
41.94,29.395,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
44.19,9.78,0,0,0,0,A,none,1A345,1A890
44.19,26.29,0,0,0,0,A,none,1A345,1A890
44.19,29.395,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
45.35,9.78,0,0,0,0,A,none,1A345,1A890
45.35,26.29,0,0,0,0,A,none,1A345,1A890
45.35,29.395,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
47.62,9.78,0,0,0,0,A,none,1A345,1A890
47.62,26.29,0,0,0,0,A,none,1A345,1A890
47.62,29.395,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
48.68,9.78,0,0,0,0,A,none,1A345,1A890
48.68,26.29,0,0,0,0,A,none,1A345,1A890
48.68,29.395,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
50.93,9.78,0,0,0,0,A,none,1A345,1A890
50.93,26.29,0,0,0,0,A,none,1A345,1A890
50.93,29.395,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
52.09,9.78,0,0,0,0,A,none,1A345,1A890
52.09,26.29,0,0,0,0,A,none,1A345,1A890
52.09,29.395,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
54.35,9.78,0,0,0,0,A,none,1A345,1A890
54.35,26.29,0,0,0,0,A,none,1A345,1A890
54.35,29.395,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
,,,,,,,,,
4.84,38.805,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
,,,,,,,,,
7.77,38.805,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
8.83,38.805,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
11.05,38.805,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
,,,,,,,,,
11.05,39.865,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
,,,,,,,,,
27.4,44.875,0,0,0,0,A,none,1A345,1A890
28.46,44.875,0,0,0,0,A,none,1A345,1A890
30.71,44.875,0,0,0,0,A,none,1A345,1A890
31.89,44.875,0,0,0,0,A,none,1A345,1A890
34.14,44.875,0,0,0,0,A,none,1A345,1A890
35.2,44.875,0,0,0,0,A,none,1A345,1A890
37.45,44.875,0,0,0,0,A,none,1A345,1A890
38.63,44.875,0,0,0,0,A,none,1A345,1A890
40.68,44.875,0,0,0,0,A,none,1A345,1A890
41.94,44.875,0,0,0,0,A,none,1A345,1A890
44.19,44.875,0,0,0,0,A,none,1A345,1A890
45.35,44.875,0,0,0,0,A,none,1A345,1A890
47.62,44.875,0,0,0,0,A,none,1A345,1A890
48.68,44.875,0,0,0,0,A,none,1A345,1A890
50.93,44.875,0,0,0,0,A,none,1A345,1A890
52.09,44.875,0,0,0,0,A,none,1A345,1A890
54.35,44.875,0,0,0,0,A,none,1A345,1A890
54.35,45.905,0,0,0,0,A,none,1A345,1A890
,,,,,,,,,
54.35,8.72,0,0,0,0,A,none,1A345,1A890
