racksDoubleRaised106,racks/racksDoubleRaised106/,,,,,,,,
obj,,,,,,,,,
X,Neg Z,Y,Rot X,Rot Y,Rot Z,Aisle,Label (left_right_or_none),Bin# (leftmost),Bin#
26.33,47.97,0,0,90,0,A,none,1A345,1A890
27.39,47.97,0,0,90,0,A,none,1A345,1A890
28.45,47.97,0,0,90,0,A,none,1A345,1A890
29.51,47.97,0,0,90,0,A,none,1A345,1A890
30.57,47.97,0,0,90,0,A,none,1A345,1A890
31.63,47.97,0,0,90,0,A,none,1A345,1A890
32.69,47.97,0,0,90,0,A,none,1A345,1A890
33.75,47.97,0,0,90,0,A,none,1A345,1A890
34.81,47.97,0,0,90,0,A,none,1A345,1A890
35.87,47.97,0,0,90,0,A,none,1A345,1A890
36.93,47.97,0,0,90,0,A,none,1A345,1A890
37.99,47.97,0,0,90,0,A,none,1A345,1A890
39.05,47.97,0,0,90,0,A,none,1A345,1A890
40.11,47.97,0,0,90,0,A,none,1A345,1A890
41.17,47.97,0,0,90,0,A,none,1A345,1A890
42.23,47.97,0,0,90,0,A,none,1A345,1A890
43.29,47.97,0,0,90,0,A,none,1A345,1A890
44.35,47.97,0,0,90,0,A,none,1A345,1A890
45.41,47.97,0,0,90,0,A,none,1A345,1A890
46.47,47.97,0,0,90,0,A,none,1A345,1A890
47.53,47.97,0,0,90,0,A,none,1A345,1A890
48.59,47.97,0,0,90,0,A,none,1A345,1A890
49.65,47.97,0,0,90,0,A,none,1A345,1A890
50.71,47.97,0,0,90,0,A,none,1A345,1A890
51.77,47.97,0,0,90,0,A,none,1A345,1A890
52.83,47.97,0,0,90,0,A,none,1A345,1A890
53.89,47.97,0,0,90,0,A,none,1A345,1A890
,,,,,,,,,
26.33,7.84,0,0,90,0,A,none,1A345,1A890
27.39,7.84,0,0,90,0,A,none,1A345,1A890
28.45,7.84,0,0,90,0,A,none,1A345,1A890
29.51,7.84,0,0,90,0,A,none,1A345,1A890
30.57,7.84,0,0,90,0,A,none,1A345,1A890
31.63,7.84,0,0,90,0,A,none,1A345,1A890
,,,,,,,,,
35.87,7.84,0,0,90,0,A,none,1A345,1A890
36.93,7.84,0,0,90,0,A,none,1A345,1A890
37.99,7.84,0,0,90,0,A,none,1A345,1A890
39.05,7.84,0,0,90,0,A,none,1A345,1A890
40.11,7.84,0,0,90,0,A,none,1A345,1A890
41.17,7.84,0,0,90,0,A,none,1A345,1A890
42.23,7.84,0,0,90,0,A,none,1A345,1A890
43.29,7.84,0,0,90,0,A,none,1A345,1A890
44.35,7.84,0,0,90,0,A,none,1A345,1A890
45.41,7.84,0,0,90,0,A,none,1A345,1A890
46.47,7.84,0,0,90,0,A,none,1A345,1A890
,,,,,,,,,
49.65,7.84,0,0,90,0,A,none,1A345,1A890
50.71,7.84,0,0,90,0,A,none,1A345,1A890
51.77,7.84,0,0,90,0,A,none,1A345,1A890
52.83,7.84,0,0,90,0,A,none,1A345,1A890
