racksSingle103,racks/racksSingle103/,,,,,,,,,
xml,,,,,,,,,,
X Pos,Neg Z Pos,Y Pos,Rot X,Rot Y,Rot Z,Aisle Label,Rack Side,Bin Label,Bin Label,The 'R' symbol means reverse label order
0.49,30.575,0,0,90,0,A,none,4A088,4A090,Aisle 4A
0.49,31.605,0,0,90,0,A,none,4A092,4A094,
0.49,32.635,0,0,90,0,A,none,4A096,4A098,
0.49,33.665,0,0,90,0,A,none,4A100,4A102,
0.49,34.695,0,0,90,0,A,none,4A104,4A106,
0.49,35.725,0,0,90,0,A,none,4A108,4A110,
0.49,36.755,0,0,90,0,A,none,4A112,4A114,
0.49,37.785,0,0,90,0,A,none,4A116,4A118,
,,,,,,,,,,
2.25,30.575,0,0,-90,0,A,none,4A089,4A087,Aisle 4A-R
2.25,31.605,0,0,-90,0,A,none,4A093,4A091,
2.25,32.635,0,0,-90,0,A,none,4A097,4A095,
2.25,33.665,0,0,-90,0,A,none,4A101,4A099,
2.25,34.695,0,0,-90,0,A,none,4A105,4A103,
2.25,35.725,0,0,-90,0,A,none,4A109,4A107,
2.25,36.755,0,0,-90,0,A,none,4A113,4A111,
2.25,37.785,0,0,-90,0,A,none,4A117,4A115,
,,,,,,,,,,
2.83,30.575,0,0,90,0,B,none,4B088,4B090,Aisle 4B
2.83,31.605,0,0,90,0,B,none,4B092,4B094,
2.83,32.635,0,0,90,0,B,none,4B096,4B098,
2.83,33.665,0,0,90,0,B,none,4B100,4B102,
2.83,34.695,0,0,90,0,B,none,4B104,4B106,
2.83,35.725,0,0,90,0,B,none,4B108,4B110,
2.83,36.755,0,0,90,0,B,none,4B112,4B114,
2.83,37.785,0,0,90,0,B,none,4B116,4B118,
,,,,,,,,,,
5.77,30.575,0,0,90,0,C,none,4C088,4C090,Aisle 4C
5.77,31.605,0,0,90,0,C,none,4C092,4C094,
5.77,32.635,0,0,90,0,C,none,4C096,4C098,
5.77,33.665,0,0,90,0,C,none,4C100,4C102,
5.77,34.695,0,0,90,0,C,none,4C104,4C106,
5.77,35.725,0,0,90,0,C,none,4C108,4C110,
5.77,36.755,0,0,90,0,C,none,4C112,4C114,
5.77,37.785,0,0,90,0,C,none,4C116,4C118,
,,,,,,,,,,
12.2,9.365,0,0,90,0,A,none,5A006,5A008,Aisle 5A
12.2,10.395,0,0,90,0,A,none,5A010,5A012,
12.2,11.425,0,0,90,0,A,none,5A014,5A016,
12.2,12.455,0,0,90,0,A,none,5A018,5A020,
12.2,13.485,0,0,90,0,A,none,5A022,5A024,
12.2,14.515,0,0,90,0,A,none,5A026,5A028,
12.2,15.545,0,0,90,0,A,none,5A030,5A032,
12.2,16.575,0,0,90,0,A,none,5A034,5A036,
12.2,17.605,0,0,90,0,A,none,5A038,5A040,
12.2,18.635,0,0,90,0,A,none,5A042,5A044,
12.2,19.665,0,0,90,0,A,none,5A046,5A048,
12.2,20.695,0,0,90,0,A,none,5A050,5A052,
12.2,21.725,0,0,90,0,A,none,5A054,5A056,
12.2,22.755,0,0,90,0,A,none,5A058,5A060,
12.2,23.785,0,0,90,0,A,none,5A062,5A064,
12.2,24.815,0,0,90,0,A,none,5A066,5A068,
,,,,,,,,,,
12.2,31.055,0,0,90,0,A,none,5A090,5A092,Aisle 5A (continued)
12.2,32.085,0,0,90,0,A,none,5A094,5A096,
12.2,33.115,0,0,90,0,A,none,5A098,5A100,
12.2,34.145,0,0,90,0,A,none,5A102,5A104,
12.2,35.175,0,0,90,0,A,none,5A106,5A108,
12.2,36.205,0,0,90,0,A,none,5A110,5A112,
12.2,37.235,0,0,90,0,A,none,5A114,5A116,
12.2,38.265,0,0,90,0,A,none,5A118,5A120,
12.2,39.295,0,0,90,0,A,none,5A122,5A124,
12.2,40.325,0,0,90,0,A,none,5A126,5A128,
,,,,,,,,,,
13.96,9.365,0,0,-90,0,G,none,5G007,5G005,Aisle 5G-R
13.96,10.395,0,0,-90,0,G,none,5G011,5G009,
13.96,11.425,0,0,-90,0,G,none,5G015,5G013,
13.96,12.455,0,0,-90,0,G,none,5G019,5G017,
13.96,13.485,0,0,-90,0,G,none,5G023,5G021,
13.96,14.515,0,0,-90,0,G,none,5G027,5G025,
